home,away,league,odds_1,odds_x,odds_2,odds_over_15,odds_under_15,odds_over_25,odds_under_25,odds_over_35,odds_under_35,odds_btts_yes,odds_btts_no,odds_ah_m15,odds_ah_m10,odds_ah_m05,odds_ah_p05,odds_ah_p10,odds_ah_p15,odds_dc_1x,odds_dc_12,odds_dc_x2
Benfica,Porto,primeira_liga,2.45,3.40,2.90,1.30,3.40,1.80,2.00,2.80,1.42,1.70,2.15,4.80,3.60,2.45,1.40,1.18,1.12,1.40,1.28,1.55
Sporting,Braga,primeira_liga,2.05,3.60,3.80,1.18,4.60,1.75,2.05,2.30,1.60,1.55,2.45,2.40,2.20,2.05,1.18,1.08,1.05,1.28,1.30,1.75
Arsenal,Chelsea,premier_league,2.20,3.50,3.40,1.28,3.60,1.70,2.15,2.70,1.45,1.85,1.95,2.90,2.45,2.20,1.20,1.10,1.06,1.32,1.30,1.65
Liverpool,Manchester United,premier_league,1.95,4.00,4.20,1.15,5.00,1.55,2.40,2.15,1.70,1.72,2.20,2.85,2.50,1.95,1.28,1.12,1.08,1.30,1.35,1.95
Real Madrid,Barcelona,la_liga,2.55,3.50,2.85,1.12,5.50,1.65,2.20,1.95,1.85,1.60,2.40,5.00,4.20,2.55,1.65,1.35,1.25,1.45,1.32,1.50
Atletico Madrid,Sevilla,la_liga,2.00,3.60,4.20,1.22,4.20,2.10,1.70,2.60,1.48,1.80,2.00,2.25,2.05,2.00,1.15,1.06,1.04,1.25,1.35,1.85
Inter,Juventus,serie_a,2.35,3.30,3.20,1.22,4.20,1.95,1.85,2.55,1.50,1.72,2.15,3.30,2.70,2.35,1.30,1.14,1.10,1.35,1.32,1.55
Napoli,Milan,serie_a,2.80,3.40,2.55,1.38,3.00,1.72,2.10,3.20,1.35,1.90,1.90,4.20,3.40,2.80,1.32,1.14,1.10,1.50,1.30,1.42
Bayern Munich,Dortmund,bundesliga,2.05,4.20,3.60,1.08,7.00,1.40,2.80,1.60,2.30,1.55,2.50,2.05,1.80,2.05,1.18,1.08,1.05,1.35,1.28,1.85
Bayer Leverkusen,RB Leipzig,bundesliga,2.40,3.50,3.00,1.15,5.00,1.60,2.30,2.10,1.72,1.65,2.30,3.30,2.75,2.40,1.35,1.16,1.12,1.40,1.30,1.55
